year,co2_emissions_value,country_code,country_name,electric_consumption_kwh_per_capita,gdp_per_capita_ppp,population
1960,3080.28,KEN,Kenya,,,
1961,3013.274,KEN,Kenya,,,
1962,3113.283,KEN,Kenya,,,
1963,3186.623,KEN,Kenya,,,
1964,3597.327,KEN,Kenya,,,
1965,4037.367,KEN,Kenya,,,
1966,4015.365,KEN,Kenya,,,
1967,3740.34,KEN,Kenya,,,
1968,3916.356,KEN,Kenya,,,
1969,3993.363,KEN,Kenya,,,
1970,4495.742,KEN,Kenya,,,
1971,4789.102,KEN,Kenya,,,
1972,4899.112,KEN,Kenya,,,
1973,5365.821,KEN,Kenya,,,
1974,5412.492,KEN,Kenya,,,
1975,5365.821,KEN,Kenya,,,
1976,5530.836,KEN,Kenya,,,
1977,5999.545,KEN,Kenya,,,
1978,6358.578,KEN,Kenya,,,
1979,6358.578,KEN,Kenya,,,
1980,6116.889,KEN,Kenya,,,
1981,5577.507,KEN,Kenya,,,
1982,5068.794,KEN,Kenya,,,
1983,4730.43,KEN,Kenya,,,
1984,4510.41,KEN,Kenya,,,
1985,4400.4,KEN,Kenya,,,
1986,4602.085,KEN,Kenya,,,
1987,4587.417,KEN,Kenya,,,
1988,4525.078,KEN,Kenya,,,
1989,4635.088,KEN,Kenya,,,
1990,6140.0,KEN,Kenya,119.380172,3184.33351142953,23516237.0
1991,6180.0,KEN,Kenya,120.843484,3218.06451900426,24179637.0
1992,6250.0,KEN,Kenya,118.803619,3270.72153851155,24839532.0
1993,6270.0,KEN,Kenya,119.026602,3353.07966871463,25512515.0
1994,6720.0,KEN,Kenya,122.106762,3507.27317730614,26178093.0
1995,7300.0,KEN,Kenya,126.445885,3756.62032217182,26819715.0
1996,7900.0,KEN,Kenya,121.456087,3894.48194078647,27437887.0
1997,8440.0,KEN,Kenya,127.682406,4016.41823789735,28050177.0
1998,8780.0,KEN,Kenya,125.375011,4114.11736875747,28681447.0
1999,9070.0,KEN,Kenya,123.892164,4249.08002701074,29332839.0
2000,9270.0,KEN,Kenya,121.781998,4376.67215998245,30005038.0
2001,9410.0,KEN,Kenya,123.375747,4480.90315067227,30704121.0
2002,9269.99950408936,KEN,Kenya,125.781022,4712.29704184444,31412119.0
2003,9389.99938964844,KEN,Kenya,129.293299,4957.82015639712,32131836.0
2004,10029.9997329712,KEN,Kenya,131.543843,5243.88646163659,32861568.0
2005,10580.0003051758,KEN,Kenya,136.676423,5701.58879354208,33610571.0
2006,11550.0001907349,KEN,Kenya,139.255354,6198.50006960524,34385841.0
2007,12330.0008773804,KEN,Kenya,142.718246,6610.59361090076,35185648.0
2008,14509.9992752075,KEN,Kenya,141.885695,6747.63056837068,36003646.0
2009,14709.9990844727,KEN,Kenya,145.374029,6851.44099056124,36836989.0
2010,14829.9999237061,KEN,Kenya,149.560086,7155.72413728074,37696098.0
2011,14950.0007629395,KEN,Kenya,152.876624,7426.1733231609,38572182.0
2012,15129.9991607666,KEN,Kenya,155.806167,7675.74211405132,39467051.0
2013,16040.0009155273,KEN,Kenya,159.401013,8148.04865404857,40366236.0
2014,16960.000038146,KEN,Kenya,162.548277,8298.34941569827,41258092.0
2015,17530.0006866455,KEN,Kenya,166.378029,8326.56567332103,42141372.0
2016,18580.0008773804,KEN,Kenya,171.181641,8446.76980672652,43021153.0
2017,18690.0005340576,KEN,Kenya,175.186216,8536.02441887059,43897853.0
2018,19040.0009155273,KEN,Kenya,177.153873,8564.15557183006,44766462.0
2019,20850.0003814697,KEN,Kenya,179.495601,9203.8517513532,45631835.0
2020,19320.41358,KEN,Kenya,181.342316,9264.04858528355,46504484.0
2021,20755.47474,KEN,Kenya,184.097149,9846.20708043753,47379449.0
2022,21700.9844,KEN,Kenya,186.722181,10434.4813469258,48266281.0
2023,21734.0,KEN,Kenya,189.239193,11245.1491471111,49145229.0
