year,population,electric_consumption_kwh_per_capita,gdp_per_capita_ppp
1990,23516237,119.380172,3184.33351142953
1991,24179637,120.843484,3218.06451900426
1992,24839532,118.803619,3270.72153851155
1993,25512515,119.026602,3353.07966871463
1994,26178093,122.106762,3507.27317730614
1995,26819715,126.445885,3756.62032217182
1996,27437887,121.456087,3894.48194078647
1997,28050177,127.682406,4016.41823789735
1998,28681447,125.375011,4114.11736875747
1999,29332839,123.892164,4249.08002701074
2000,30005038,121.781998,4376.67215998245
2001,30704121,123.375747,4480.90315067227
2002,31412119,125.781022,4712.29704184444
2003,32131836,129.293299,4957.82015639712
2004,32861568,131.543843,5243.88646163659
2005,33610571,136.676423,5701.58879354208
2006,34385841,139.255354,6198.50006960524
2007,35185648,142.718246,6610.59361090076
2008,36003646,141.885695,6747.63056837068
2009,36836989,145.374029,6851.44099056124
2010,37696098,149.560086,7155.72413728074
2011,38572182,152.876624,7426.1733231609
2012,39467051,155.806167,7675.74211405132
2013,40366236,159.401013,8148.04865404857
2014,41258092,162.548277,8298.34941569827
2015,42141372,166.378029,8326.56567332103
2016,43021153,171.181641,8446.76980672652
2017,43897853,175.186216,8536.02441887059
2018,44766462,177.153873,8564.15557183006
2019,45631835,179.495601,9203.8517513532
2020,46504484,181.342316,9264.04858528355
2021,47379449,184.097149,9846.20708043753
2022,48266281,186.722181,10434.4813469258
2023,49145229,189.239193,11245.1491471111
